16	4	1	10000	10175	10080	10080	0.252	3879.84	50400	5	40320	4	10080	0.078454	
16	8	0.1	10000	10076	3960	3960	0.099	58.9116	9898	2.49949	5938	1.49949	3960	0.03001	
16	8	0.2	10000	10126	7938	7938	0.19845	80.4678	19862	2.50214	11924	1.50214	7938	0.047591	
16	8	0.3	10000	10139	10041	10041	0.251025	858.963	25104	2.50015	15063	1.50015	10041	0.071221	
16	8	0.4	10000	10136	10073	10073	0.251825	1949.56	25181	2.49985	15108	1.49985	10073	0.058601	
16	8	0.5	10000	10137	10076	10076	0.2519	2559.52	25189	2.4999	15113	1.4999	10076	0.058658	
16	8	0.6	10000	10137	10079	10079	0.251975	2982.47	25198	2.50005	15119	1.50005	10079	0.054406	
16	8	0.7	10000	10137	10076	10076	0.2519	3284.48	25190	2.5	15114	1.5	10076	0.052269	
16	8	0.8	10000	10136	10080	10080	0.252	3512.45	25200	2.5	15120	1.5	10080	0.050693	
16	8	0.9	10000	10137	10079	10079	0.251975	3690.31	25197	2.49995	15118	1.49995	10079	0.04947	
16	8	1	10000	10135	10080	10080	0.252	3807.49	25200	2.5	15120	1.5	10080	0.046523	
64	0	0.1	10000	10138	16057	16057	0.100356	90.9595	65203	4.06072	49146	3.06072	16057	0.174549	
64	0	0.2	10000	10190	32109	32109	0.200681	117.839	130022	4.04939	97913	3.04939	32109	0.257009	
64	0	0.3	10000	10196	39830	39830	0.248938	978.972	161178	4.04665	121348	3.04665	39830	0.316562	
64	0	0.4	10000	10217	39907	39907	0.249419	2009.8	161363	4.04348	121456	3.04348	39907	0.300609	
64	0	0.5	10000	10198	39921	39921	0.249506	2630.66	161675	4.04987	121754	3.04987	39921	0.290497	
64	0	0.6	10000	10204	39972	39972	0.249825	3041.66	161700	4.04533	121728	3.04533	39972	0.289842	
64	0	0.7	10000	10206	39972	39972	0.249825	3338.95	161927	4.05101	121955	3.05101	39972	0.280384	
64	0	0.8	10000	10199	39932	39932	0.249575	3564.28	161682	4.04893	121750	3.04893	39932	0.278795	
64	0	0.9	10000	10203	39943	39943	0.249644	3739.01	161793	4.0506	121850	3.0506	39943	0.273771	
64	0	1	10000	10208	39983	39983	0.249894	3868.92	162378	4.06118	122395	3.06118	39983	0.276008	
64	8	0.1	10000	10090	15963	15963	0.0997688	73.8402	51802	3.24513	35839	2.24513	15963	0.124563	
64	8	0.2	10000	10156	32079	32079	0.200494	96.494	104209	3.24851	72130	2.24851	32079	0.215051	
64	8	0.3	10000	10159	40172	40172	0.251075	913.534	130553	3.24985	90381	2.24985	40172	0.260256	
64	8	0.4	10000	10159	40286	40286	0.251787	1948.27	130931	3.25004	90645	2.25004	40286	0.245424	
64	8	0.5	10000	10159	40297	40297	0.251856	2577.03	130966	3.25002	90669	2.25002	40297	0.236666	
64	8	0.6	10000	10156	40303	40303	0.251894	3003.22	130983	3.24996	90680	2.24996	40303	0.227918	
64	8	0.7	10000	10156	40307	40307	0.251919	3292.91	131001	3.25008	90694	2.25008	40307	0.224249	
64	8	0.8	10000	10154	40313	40313	0.251956	3537.02	131019	3.25004	90706	2.25004	40313	0.220295	
64	8	0.9	10000	10155	40317	40317	0.251981	3708.37	131030	3.24999	90713	2.24999	40317	0.217389	
64	8	1	10000	10159	40318	40318	0.251987	3841.92	131033	3.24999	90715	2.24999	40318	0.222718	
256	0	0.1	10000	10171	64099	64099	0.100155	110.527	321573	5.01682	257474	4.01682	64099	0.7008	
256	0	0.2	10000	10238	127868	127868	0.199794	137.324	640977	5.0128	513109	4.0128	127868	1.19565	
256	0	0.3	10000	10242	159255	159255	0.248836	1018.91	800497	5.02651	641242	4.02651	159255	1.41697	
256	0	0.4	10000	10255	159676	159676	0.249494	2033.56	800707	5.01457	641031	4.01457	159676	1.36835	
256	0	0.5	10000	10252	159776	159776	0.24965	2648.51	801082	5.01378	641306	4.01378	159776	1.35531	
256	0	0.6	10000	10251	159738	159738	0.249591	3065.23	800464	5.01111	640726	4.01111	159738	1.34362	
256	0	0.7	10000	10242	159789	159789	0.24967	3357.51	801500	5.01599	641711	4.01599	159789	1.32098	
256	0	0.8	10000	10257	159800	159800	0.249688	3576.33	801727	5.01707	641927	4.01707	159800	1.31242	
256	0	0.9	10000	10256	159904	159904	0.24985	3753.57	803468	5.02469	643564	4.02469	159904	1.31441	
256	0	1	10000	10237	159814	159814	0.249709	3895.45	802147	5.01925	642333	4.01925	159814	1.30347	
256	8	0.1	10000	10143	64214	64214	0.100334	81.6256	232833	3.62589	168619	2.62589	64214	0.549805	
256	8	0.2	10000	10179	127887	127887	0.199823	105.613	463580	3.62492	335693	2.62492	127887	0.919702	
256	8	0.3	10000	10179	160714	160714	0.251116	940.543	582606	3.62511	421892	2.62511	160714	1.06886	
256	8	0.4	10000	10179	161112	161112	0.251738	1969.04	584042	3.62507	422930	2.62507	161112	1.01609	
256	8	0.5	10000	10178	161202	161202	0.251878	2593.53	584349	3.62495	423147	2.62495	161202	0.988912	
256	8	0.6	10000	10179	161218	161218	0.251903	3007.72	584425	3.62506	423207	2.62506	161218	0.969326	
256	8	0.7	10000	10179	161235	161235	0.25193	3309.96	584488	3.62507	423253	2.62507	161235	0.95595	
256	8	0.8	10000	10179	161260	161260	0.251969	3535.65	584571	3.62502	423311	2.62502	161260	0.947616	
256	8	0.9	10000	10177	161266	161266	0.251978	3710.76	584592	3.62502	423326	2.62502	161266	0.941245	
256	8	1	10000	10179	161274	161274	0.251991	3849.72	584616	3.62499	423342	2.62499	161274	0.935117	
1024	0	0.1	10000	10214	256535	256535	0.100209	130.394	1540103	6.00348	1283568	5.00348	256535	3.43602	
1024	0	0.2	10000	10267	512373	512373	0.200146	158.162	3075294	6.00206	2562921	5.00206	512373	7.41269	
1024	0	0.3	10000	10299	637018	637018	0.248835	1035.3	3826113	6.00629	3189095	5.00629	637018	9.70758	
1024	0	0.4	10000	10281	638609	638609	0.249457	2054.45	3833618	6.00308	3195009	5.00308	638609	9.52834	
1024	0	0.5	10000	10295	639002	639002	0.24961	2671.36	3836909	6.00453	3197907	5.00453	639002	9.54598	
1024	0	0.6	10000	10293	639158	639158	0.249671	3088.33	3837601	6.00415	3198443	5.00415	639158	9.41405	
1024	0	0.7	10000	10305	639141	639141	0.249664	3379.11	3837014	6.00339	3197873	5.00339	639141	9.37545	
1024	0	0.8	10000	10295	639318	639318	0.249734	3604.69	3841540	6.00881	3202222	5.00881	639318	9.53366	
1024	0	0.9	10000	10297	639487	639487	0.2498	3775.38	3840030	6.00486	3200543	5.00486	639487	9.47379	
1024	0	1	10000	10283	639531	639531	0.249817	3914.78	3839214	6.00317	3199683	5.00317	639531	9.41499	
1024	8	0.1	10000	10136	256555	256555	0.100217	85.3145	978545	3.81417	721990	2.81417	256555	2.28674	
1024	8	0.2	10000	10194	512970	512970	0.200379	109.99	1956131	3.81334	1443161	2.81334	512970	3.99955	
1024	8	0.3	10000	10199	642775	642775	0.251084	950.71	2450787	3.81282	1808012	2.81282	642775	4.78623	
1024	8	0.4	10000	10199	644456	644456	0.251741	1974.63	2456966	3.81247	1812510	2.81247	644456	4.69048	
1024	8	0.5	10000	10199	644764	644764	0.251861	2601.05	2458151	3.81248	1813387	2.81248	644764	4.62985	
1024	8	0.6	10000	10199	644920	644920	0.251922	3018.64	2458756	3.8125	1813836	2.8125	644920	4.55526	
1024	8	0.7	10000	10198	644986	644986	0.251948	3314.93	2459008	3.8125	1814022	2.8125	644986	4.46315	
1024	8	0.8	10000	10199	645028	645028	0.251964	3539.75	2459175	3.81251	1814147	2.81251	645028	4.50425	
1024	8	0.9	10000	10199	645061	645061	0.251977	3716.22	2459291	3.81249	1814230	2.81249	645061	4.47556	
1024	8	1	10000	10199	645084	645084	0.251986	3854.31	2459375	3.81249	1814291	2.81249	645084	4.45513	
